id;parentid
7686588;7685163
7686589;7685427
7686592;7686084
7686603;7685536
7686605;7684750
7686609;7686173
7686613;7684650
7686618;7684932
7686619;7685165
7686627;7686508
7686632;7684710
7686653;7686241
7686656;7685893
7686656;7686479
7686668;7686629
7686674;7686055
7686687;7684544
7686689;7685201
7686691;7686663
7686697;7684726
7686697;7684824
7686701;7686174
7686702;7683866
7686705;7684082
7686705;7684863
7686710;7684693
7686720;7684298
7686724;7685772
7686725;7686663
7686725;7686691
7686726;7683954
7686727;7684271
7686727;7684406
7686736;7686067
7686738;7686551
7686742;7684301
7686773;7686050
7686777;7686220
7686780;7685334
7686783;7686764
7686786;7685506
7686795;7685429
7686797;7686767
7686798;7685660
7686799;7685177
7686807;7684632
7686812;7686416
7686813;7685785
7686813;7686276
7686818;7683789
7686819;7685240
7686824;7686106
7686825;7686222
7686825;7686278
7686826;7685270
7686830;7685715
7686835;7686716
7686841;7685527
7686843;7686107
7686845;7685889
7686845;7686180
7686846;7686525
7686854;7686168
7686855;7684575
7686857;7686574
7686876;7686630
7686877;7686713
7686878;7685965
7686883;7684189
7686883;7684303
7686885;7685223
7686887;7684294
7686889;7684354
7686892;7686579
7686899;7684571
7686902;7686166
7686902;7686372
7686907;7685920
7686909;7686572
7686917;7685574
7686917;7686115
7686928;7686349
7686930;7684890
7686931;7686766
7686933;7684111
7686937;7684588
7686940;7686308
7686940;7686465
7686954;7685210
7686954;7685738
7686954;7685867
7686955;7685386
7686958;7684828
7686965;7685742
7686967;7683920
7686973;7684420
7686974;7686352
7686975;7684754
7686978;7685488
7686986;7686181
7686993;7684338
7687001;7684505
7687002;7684521
7687014;7686713
7687014;7686877
7687016;7684258
7687023;7686872
7687026;7685434
7687028;7684207
7687043;7684332
7687047;7684687
7687049;7685348
7687055;7684560
7687070;7686471
7687073;7684272
7687073;7685524
7687075;7684464
7687075;7685358
7687080;7686923
7687090;7685550
7687093;7684605
7687105;7685735
7687107;7685950
7687108;7685184
7687113;7684549
7687118;7686291
7687126;7685533
7687127;7685316
7687131;7686473
7687136;7684183
7687137;7686898
7687145;7685522
7687149;7685401
7687158;7687140
7687160;7684748
7687160;7685200
7687162;7685210
7687162;7685431
7687162;7685738
7687162;7685867
7687162;7686954
7687163;7686229
7687167;7685718
7687171;7686569
7687172;7686614
7687179;7685052
7687181;7684409
7687184;7687115
7687190;7687139
7687195;7684320
7687197;7683831
7687200;7687035
7687202;7685632
7687209;7684923
7687212;7685502
7687223;7685729
7687226;7685882
7687226;7686687
7687231;7686957
7687233;7684657
7687241;7684191
7687245;7684552
7687255;7685612
7687263;7686895
7687264;7686495
7687268;7687187
7687275;7684348
7687295;7687122
7687298;7684075
7687302;7684129
7687316;7687281
7687323;7684340
7687325;7686315
7687329;7684973
7687332;7683938
7687338;7685184
7687338;7687108
7687339;7685339
7687350;7684901
7687351;7685508
7687352;7686390
7687354;7684841
7687358;7685346
7687365;7684544
7687365;7686687
7687367;7685222
7687372;7685159
7687383;7686285
7687385;7686103
7687386;7686206
7687387;7684844
7687388;7685865
7687391;7687288
7687393;7687067
7687399;7684503
7687403;7686391
7687405;7687098
7687408;7686573
7687413;7687397
7687418;7686607
7687423;7684627
7687425;7684667
7687425;7686984
7687433;7684031
7687433;7684537
7687436;7684374
7687439;7686989
7687443;7683729
7687448;7685151
7687449;7684982
7687449;7686448
7687454;7685720
7687457;7686888
7687470;7685613
7687472;7685923
7687492;7684138
7687498;7684377
7687499;7683991
7687501;7687374
7687504;7685572
7687517;7686994
7687518;7686295
7687526;7685586
7687535;7685481
7687539;7684447
7687540;7686310
7687561;7685986
7687563;7686671
7687565;7687170
7687566;7685401
7687570;7686380
7687573;7686277
7687578;7685831
7687589;7687456
7687595;7683851
7687596;7684865
7687602;7683987
7687604;7684958
7687605;7686998
7687606;7686226
7687607;7687187
7687607;7687268
7687610;7684923
7687610;7687209
7687612;7685771
7687622;7685862
7687627;7684329
7687628;7684830
7687634;7685165
7687634;7686619
7687635;7683842
7687635;7686535
7687638;7686383
7687641;7685439
7687641;7686354
7687643;7685107
7687647;7685831
7687647;7687578
7687651;7686367
7687654;7687357
7687664;7687206
7687667;7686445
7687671;7685949
7687676;7686329
7687689;7685760
7687691;7685135
7687707;7687512
7687708;7684732
7687710;7685327
7687741;7685912
7687744;7684910
7687746;7685592
7687749;7686952
7687753;7686963
7687756;7686968
7687759;7684949
7687761;7686525
7687761;7686846
7687765;7686512
7687772;7686551
7687772;7686738
7687780;7685938
7687780;7686088
7687787;7685834
7687794;7684756
7687802;7686199
7687803;7687129
7687811;7687058
7687813;7686458
7687822;7686906
7687825;7685642
7687826;7686751
7687829;7686747
7687835;7684793
7687845;7686748
7687866;7686220
7687866;7686777
7687876;7686430
7687880;7687849
7687892;7686290
