id;lat;lon;z;weight;panoid;type;typename;plat;plon;pz;azimuth
7684662;55.736623;37.601162;140.126465;181.855;7498056;34;Пешеходный переход наземный;55.7366;37.6012;139.45622253418;298
7684663;55.741862;37.600875;152.088593;181.634;7497707;57;Осторожно дети;55.7421;37.6005;151.110595703125;143
7684664;55.74894;37.599803;150.684708;181.602;7497340;25;Остановка и стоянка запрещена;55.7493;37.5998;150.527328491211;191
7684665;55.75398;37.605875;160.326874;181.551;7499743;34;Пешеходный переход наземный;55.754;37.606;158.620559692383;204
7684666;55.748435;37.603279;153.373718;181.491;7500060;25;Остановка и стоянка запрещена;55.7483;37.6038;151.505172729492;290
7684667;55.742646;37.596182;154.006165;181.391;7497675;34;Пешеходный переход наземный;55.7427;37.5963;153.130844116211;247
7684668;55.752866;37.605386;159.943848;181.371;7499727;25;Остановка и стоянка запрещена;55.7528;37.606;159.475509643555;299
7684669;55.750013;37.609613;151.093689;181.242;7496869;25;Остановка и стоянка запрещена;55.7497;37.6094;149.504547119141;10
7684670;55.752956;37.583011;160.830246;181.241;7500416;109;Подземный пешеходный переход;55.7527;37.5834;159.346710205078;13
7684671;55.759299;37.59941;169.375443;181.2;7497220;34;Пешеходный переход наземный;55.7596;37.5996;168.129669189453;224
7684672;55.743944;37.591332;155.944946;181.057;7498842;25;Остановка и стоянка запрещена;55.7438;37.5919;155.308517456055;276
7684673;55.744173;37.587472;156.332306;180.452;7498283;16;Кирпич;55.7441;37.5871;156.076126098633;329
